"Table 2.1  Returns with Itemized Deductions: Sources of Income,
"    $50,000 under $55,000","1,721,555","90,344,156","1,721,555","91,678,961","1,446,998","68,776,543","761,965","747,216","82,611","360,528","410,902","1,558,209","374,813","1,038,966","756,263","553,246","21,720","316,768","298,879","2,246,912","319,767","445,892","25,175","-174,612","219,799","3,028,347","418,022","8,476,904","105,485","1,125,241","114,432","1,093,838","9,273","152,671","104,446","535,961","9,270","107,889","21,190","-257,195","115,484","933,635","350,171","4,303,932","8,875","230,010","9,914","77,403","* 4,048","* 5,368","2,839","244,862","44,492","210,840","78,531","229,172","490,553","1,334,805","29,127,696",0,0,"506,730","3,779,006","506,730","5,774,715","506,730","1,995,708","1,707,271","8,330,688","1,648,224","3,658,613","1,247,358","3,142,278","400,866","516,335","1,449,718","4,376,727","744,294","238,414","86,602","55,726","1,319,426","10,155,474","1,302,207","9,698,403","1,283,639","9,544,822","30,965","153,581","73,507","38,854","285,070","363,874","18,462","54,343","1,318,646","3,322,750","1,181,010","2,708,040","770,205","558,577","21,575","68,944","6,128","96,798","485,940","3,218,862","605,410","3,182,698","813,150","185,180","217,522","541,064","1,056,795","3,908,942","50,557","224,118","41,471","189,541","10,098","34,576","3,346,214","12,704,474","1,681,454","49,171,414","2,741","5,226","1,673,914","6,449,544","697,645","789,642","1,503,716","5,659,901","1,503,716","5,659,901"
"    $55,000 under $60,000","1,740,077","100,033,035","1,740,077","101,602,840","1,462,179","74,997,827","781,696","968,180","92,461","579,511","407,285","1,369,713","371,491","902,545","762,163","561,668","16,130","443,692","284,987","3,238,390","326,496","377,016","25,208","-104,111","216,700","3,137,233","420,060","10,011,863","92,149","1,064,135","92,762","990,043","* 2,022","* 27,850","118,940","796,076","8,477","30,603","24,323","-242,524","131,798","868,496","345,560","4,789,248","8,085","374,591","8,198","111,270","* 7,075","* 8,798","2,125","192,239","44,351","419,795","92,736","312,345","525,999","1,569,805","30,584,482",0,0,"450,076","3,906,750","450,076","5,846,435","450,076","1,939,685","1,727,845","8,753,553","1,680,037","3,995,157","1,282,725","3,456,344","397,312","538,813","1,436,588","4,428,210","790,453","305,359","70,208","24,826","1,306,244","10,118,675","1,291,622","9,615,032","1,265,003","9,376,355","37,535","238,677","80,023","70,430","268,111","331,441","22,532","101,771","1,362,507","3,783,646","1,205,520","3,090,253","812,197","639,747","17,918","165,635","9,352","92,868","516,428","3,507,819","634,714","3,614,618","832,069","188,455","238,602","494,331","1,095,095","4,297,404","48,281","421,172","37,871","341,644","10,410","22,882","3,452,915","13,112,972","1,707,044","56,930,124","4,737","4,338","1,701,302","7,812,900","696,998","936,661","1,545,096","6,876,238","1,545,096","6,876,238"
"    $60,000 under $75,000","5,032,599","340,005,698","5,032,599","344,774,563","4,321,142","257,267,303","2,465,457","2,405,054","284,946","2,259,713","1,311,965","5,258,117","1,175,096","3,420,850","2,401,584","1,979,337","28,012","589,861","868,948","8,662,506","1,017,209","2,367,252","71,240","-408,229","691,308","9,843,831","1,340,143","33,263,203","287,439","2,998,355","297,356","2,952,358","21,763","145,462","347,075","3,678,532","33,480","413,076","58,222","-402,468","405,373","2,850,151","1,057,729","16,544,550","27,228","610,886","50,339","504,002","13,514","11,824","8,868","774,755","107,257","716,650","284,572","569,656","1,630,774","4,768,865","94,201,275",0,0,"1,256,775","9,750,578","1,256,775","16,073,892","1,256,775","6,323,314","5,017,426","28,942,119","4,890,331","14,108,791","3,832,926","12,588,158","1,057,405","1,520,633","4,333,436","13,884,868","2,225,585","838,779","242,208","109,680","3,959,281","32,193,940","3,917,697","31,064,934","3,864,404","30,635,979","96,583","428,955","220,441","109,527","724,331","905,762","83,776","113,717","4,094,087","11,988,198","3,670,303","9,790,683","2,385,367","2,071,973","42,774","662,776","20,513","825,932","1,442,393","9,745,511","1,835,720","10,026,781","2,450,110","563,194","709,039","1,753,709","3,198,298","12,343,684","106,957","754,997","91,732","572,871","14,915","51,851","10,947,202","41,572,513","4,990,494","206,091,799","17,514","32,339","4,958,562","29,696,851","2,117,985","3,317,626","4,718,192","26,379,225","4,718,192","26,379,225"
"    $75,000 under $100,000","7,545,860","655,601,696","7,545,860","663,225,935","6,704,196","512,248,944","4,131,295","4,446,316","471,745","3,204,805","2,305,433","9,532,053","2,109,658","6,509,008","3,919,433","3,636,130","25,584","763,271","1,391,077","15,671,579","1,833,560","4,562,610","117,254","-340,321","1,001,434","17,506,597","1,957,827","55,276,425","483,890","5,060,663","585,444","4,913,913","40,200","237,188","634,121","7,116,396","42,901","505,506","117,229","-644,033","607,106","4,179,690","1,425,081","26,031,427","20,751","553,388","60,550","539,927","21,926","31,996","10,495","939,050","183,059","1,850,143","490,477","1,656,968","2,448,238","7,624,239","154,821,733",**,**,"1,331,772","11,009,592","1,331,772","19,626,166","1,331,772","8,616,574","7,520,111","53,139,748","7,363,920","27,981,496","5,992,183","25,601,279","1,371,737","2,380,217","6,693,841","23,538,462","3,484,652","1,409,534","422,200","210,257","6,219,476","55,141,734","6,155,142","53,027,339","6,067,327","52,059,338","203,060","968,001","450,499","220,453","1,138,160","1,629,899","140,948","264,044","6,295,200","20,058,770","5,713,122","16,374,916","3,837,437","3,348,782","65,647","775,584",**,**,"1,971,152","13,383,973","2,720,056","14,488,273","3,759,058","900,785","1,088,442","2,677,224","4,798,025","18,066,282","194,599","1,635,028","164,335","1,536,176","31,573","94,523","18,841,875","71,561,558","7,514,632","430,150,983","68,910","131,396","7,496,533","64,621,457","3,716,551","6,639,611","7,365,269","57,981,846","7,365,269","57,981,846"
"    $100,000 under $200,000","12,718,966","1,733,509,737","12,718,966","1,755,877,007","11,558,260","1,352,420,257","8,382,447","11,120,592","1,203,741","10,151,816","5,425,845","28,261,086","5,010,800","20,584,482","6,702,612","8,178,452","28,856","1,664,372","2,445,776","48,937,411","4,414,833","22,613,984","341,283","-657,488","1,844,705","49,162,196","3,335,214","123,498,631","1,086,275","15,542,003","824,665","7,023,586","81,641","1,239,179","1,734,056","43,526,629","143,767","2,834,896","230,139","-771,656","765,688","5,552,326","2,124,202","44,550,926","36,258","1,903,650","101,897","1,302,964","36,924","43,437","19,956","1,522,890","300,147","3,857,904","1,018,321","4,688,211","4,802,918","22,367,270","334,445,855","** 1,032",** 131,"1,231,101","12,251,820","1,231,101","24,097,675","1,231,101","11,845,855","12,704,125","137,692,229","12,485,449","79,083,608","10,474,246","74,684,331","2,011,203","4,399,277","11,777,627","55,392,609","5,990,696","2,839,033","746,116","376,979","10,841,881","114,345,894","10,715,718","112,502,098","10,577,253","110,374,510","421,799","2,127,588","1,009,592","607,793","292,404","234,237","437,644","1,001,767","11,307,226","44,540,853","10,520,596","37,244,155","7,304,377","7,592,562","72,691","2,489,735","** 51,893","** 1,490,556","2,864,926","20,811,380","4,397,041","23,273,147","6,480,788","1,919,139","2,243,858","6,761,391","8,206,698","31,953,677","314,512","3,766,142","253,143","3,213,200","59,800","337,144","35,530,093","134,954,392","12,694,376","1,265,495,243","620,041","1,461,016","12,678,636","224,477,371","6,206,959","9,745,109","12,638,332","214,732,263","12,638,332","214,732,263"
"    $200,000 under $250,000","1,680,199","373,473,282","1,680,199","379,796,345","1,528,842","274,583,204","1,342,025","3,528,814","284,245","3,278,147","1,001,823","8,877,903","950,369","6,678,110","739,350","1,349,368","4,367","413,901","389,128","14,807,765","908,318","10,011,706","84,795","-218,991","277,983","10,958,153","419,408","19,850,728","183,504","4,367,732","59,500","991,753","11,781","311,393","425,551","21,822,221","32,655","1,006,258","35,944","191,349","68,019","487,575","265,983","6,200,732","6,383","532,525","13,210","411,886","3,810","8,171","5,464","446,611","44,199","1,408,353","186,062","1,700,407","580,370","6,323,063","63,700,012",961,576,"74,130","1,383,529","74,130","2,613,283","74,130","1,229,755","1,679,773","29,445,569","1,656,787","18,348,746","1,397,062","17,524,648","259,725","824,098","1,561,513","10,615,883","766,335","398,343","109,706","82,033","1,409,719","19,404,427","1,378,674","18,755,145","1,361,272","18,421,145","52,842","333,999","175,980","145,189",* 653,* 613,"125,641","503,479","1,536,146","8,724,860","1,465,039","7,257,942","998,466","1,576,627","12,396","1,047,587","4,271","375,953","300,469","2,693,842","443,016","2,597,911","818,831","372,684","370,728","1,700,013","1,044,548","4,670,608","58,059","1,672,407","39,920","1,249,401","18,842","179,293","4,904,940","18,629,566","1,677,551","291,592,945","769,139","2,168,968","1,677,426","63,009,653","663,131","760,717","1,675,419","62,248,936","1,675,419","62,248,936"
"    $250,000 under $500,000","2,238,587","750,272,931","2,238,587","766,285,126","1,995,836","499,394,094","1,946,246","9,342,444","574,820","8,980,782","1,585,322","23,678,643","1,512,805","18,547,635","689,049","1,838,962","2,854","498,608","570,205","39,275,578","1,504,911","38,039,906","183,910","191,630","379,701","18,797,083","496,088","25,285,340","347,751","12,406,114","102,856","2,058,316","17,170","655,979","840,754","81,701,387","60,290","2,732,423","57,834","253,181","71,481","541,830","346,715","8,454,117","9,748","1,382,672","21,906","542,232","6,225","11,219","12,497","921,531","58,933","3,939,080","289,480","3,723,772","900,277","16,012,196","115,833,837",378,443,"51,532","1,416,158","51,532","2,660,660","51,532","1,244,503","2,236,448","57,670,615","2,213,952","38,932,449","1,850,107","37,774,137","363,845","1,158,313","2,071,690","18,052,835","938,563","548,147","151,248","137,183","1,822,576","30,444,447","1,750,380","28,824,122","1,727,316","28,225,354","72,127","598,769","** 308,676","** 247,833",** 439,"** 1,114","264,553","1,447,971","2,072,367","17,789,352","1,997,082","14,847,688","1,253,952","2,554,974","18,392","1,554,241","7,377","711,597","318,503","4,248,995","405,154","2,786,834","997,055","742,563","667,674","4,270,375","1,337,148","7,799,771","98,534","3,553,116","52,604","3,011,612","45,128","375,107","6,516,601","24,749,252","2,235,516","610,204,982","1,963,489","14,585,867","2,235,987","159,839,315","1,036,767","2,419,468","2,232,573","157,419,847","2,232,573","157,419,847"
"    $500,000 under $1,000,000","678,651","459,814,620","678,651","469,559,944","581,468","251,296,829","637,739","7,543,060","274,983","7,635,958","554,813","20,913,664","536,137","16,918,868","166,975","958,535",956,"131,726","175,151","19,260,624","560,748","46,187,563","122,091","65,541","121,176","10,236,869","118,410","6,471,934","145,475","8,958,793","47,947","1,359,720","8,331","225,074","397,257","90,464,413","26,442","2,142,040","20,868","263,842","10,626","90,506","111,282","2,913,646","6,402","1,255,789","12,882","398,950",754,"2,016","6,812","625,266","17,462","1,826,873","128,758","2,673,295","341,315","9,745,324","61,939,846",67,378,"9,027","540,627","9,027","984,209","9,027","443,582","677,641","33,897,549","669,674","25,325,990","554,057","24,858,124","115,617","467,865","634,260","8,275,031","264,481","194,923","52,376","101,605","540,043","12,159,764","495,234","10,406,165","486,876","10,134,162","20,261","272,003",**,**,**,**,"150,111","1,677,005","640,992","10,899,352","630,238","9,019,326","341,071","2,434,874","9,113","2,408,449","1,459","358,948","87,779","2,514,626","78,510","691,043","300,974","437,629","288,663","3,593,589","437,638","4,722,261","46,165","1,569,358","14,678","1,230,408","31,544","243,128","2,047,315","7,774,879","677,508","390,547,268","496,954","6,723,734","678,036","113,307,087","405,306","2,667,699","676,700","110,639,388","676,700","110,639,388"
"    $1,000,000 under $1,500,000","164,396","198,840,309","164,396","202,284,711","135,923","89,052,547","159,841","3,812,347","83,640","3,531,591","143,049","10,481,826","138,534","8,562,353","58,436","615,656",* 144,"* 9,934","39,897","6,030,942","146,849","29,567,610","44,162","181,388","30,782","4,004,647","29,373","1,933,665","45,112","3,649,370","14,775","503,332","2,065","75,557","114,348","49,003,921","8,797","1,435,874","5,915","79,500","1,986","15,407","29,303","763,625","2,212","784,335","6,079","138,261",362,992,"1,753","141,165","5,668","1,557,061","38,421","1,378,969","91,033","3,444,402","24,567,573",* 9,* 60,750,"68,291",750,"136,553",750,"68,262","164,178","14,061,618","162,990","11,281,952","135,290","11,127,021","27,700","154,931","154,010","2,661,273","60,949","55,279","13,993","63,114","126,746","3,460,157","111,438","2,567,864","108,832","2,484,949","5,377","82,915","15,661","20,819",0,0,"49,523","871,475","157,067","5,045,757","155,315","4,012,462","78,136","966,835","3,129","1,439,588",154,"44,114","21,233","1,058,543","13,795","166,460","69,364","162,793","88,548","1,731,185","112,711","2,060,438","17,655","829,152","4,668","708,005","12,968","105,559","491,421","1,866,377","164,103","172,548,933","57,666","1,303,562","164,243","50,427,950","112,370","1,406,344","163,922","49,021,606","163,922","49,021,606"
"    $1,500,000 under $2,000,000","70,320","121,048,111","70,320","122,936,371","57,566","48,265,426","68,950","2,671,376","40,150","2,440,378","62,719","7,703,850","61,144","6,377,792","28,526","451,964",74,"40,865","17,345","3,320,417","64,552","21,302,197","22,194","239,876","13,752","2,861,733","12,812","982,907","21,330","2,256,631","6,898","267,709",852,"70,732","52,725","30,675,014","4,695","912,269","2,602","42,540",698,"5,772","13,435","354,106","1,085","534,585","3,986","74,714",113,273,847,"72,806","2,300","685,144","18,456","964,396","40,992","1,888,260","15,114,599",* 3,* 23,307,"29,416",307,"68,229",307,"38,813","70,195","8,482,575","69,651","7,028,085","57,582","6,945,161","12,069","82,924","66,178","1,395,795","24,616","25,405","6,319","33,290","54,120","1,690,321","44,357","1,061,836","43,156","1,022,013","2,209","39,823","6,342","6,354",* 8,* 1,"26,727","622,129","67,339","3,413,069","66,591","2,663,567","32,316","756,928","1,847","1,892,192",111,"37,081","10,259","770,465","5,331","81,440","30,923","103,279","42,629","1,268,264","51,546","1,452,983","9,758","691,695","2,037","584,791","7,837","77,918","207,475","787,907","70,177","105,265,117","20,567","697,659","70,248","30,760,710","50,367","983,794","70,065","29,776,916","70,065","29,776,916"
"    $2,000,000 under $5,000,000","104,472","311,301,678","104,472","315,203,058","84,653","104,506,321","103,029","7,479,225","65,176","5,589,049","95,196","21,260,628","92,735","17,717,251","46,604","1,241,565",132,"47,131","25,303","6,384,018","98,079","72,845,240","39,788","785,858","20,829","6,606,889","19,506","1,872,032","35,904","4,721,743","11,254","572,350","** 1,805","** 117,591","82,392","81,462,168","9,253","2,818,396","4,154","19,455",863,"7,645","20,781","561,803","2,021","1,622,158","9,063","327,054",148,304,"1,344","120,579","3,367","2,183,887","32,095","2,386,784","62,763","3,901,380","37,569,828",* 7,* 183,259,"50,493",259,"103,187",259,"52,694","104,271","20,757,989","103,471","17,995,083","86,143","17,814,455","17,328","180,628","97,917","2,659,332","34,922","40,813","9,395","62,761","80,932","3,336,935","61,958","1,543,021","60,221","1,486,557","2,958","56,464","7,915","7,989",* 8,* 3,"47,612","1,785,922","100,133","9,509,288","99,311","6,332,112","46,334","3,476,232","3,606","3,815,474",96,"86,219","15,390","2,064,165","6,311","182,536","44,598","214,413","69,563","3,457,898","79,395","3,854,846","19,274","1,764,921","2,937","1,564,243","16,517","155,173","302,520","1,148,898","104,284","272,732,942","30,274","1,604,408","104,382","78,349,029","78,116","2,600,943","104,159","75,748,086","104,159","75,748,086"
"    $5,000,000 under $10,000,000","26,784","183,184,398","26,784","184,908,179","21,870","51,984,631","26,521","5,387,136","18,819","2,983,378","25,065","14,476,025","24,474","12,374,869","12,647","715,947",37,"26,978","6,868","2,363,421","25,861","59,538,909","12,369","685,355","5,557","2,481,421","5,075","760,530","10,973","2,567,007","3,275","231,885",**,**,"22,313","40,260,484","3,199","2,042,090","1,181","-81,597",125,892,"5,491","154,122",681,"936,403","3,421","245,272",17,85,267,"23,947",846,"1,135,714","10,091","1,355,991","16,903","1,723,780","21,309,722",* 4,* 250,** 14,"** 2,082",** 14,"** 9,544",** 14,"** 7,462","26,746","11,315,992","26,539","10,242,517","22,276","10,151,075","4,263","91,442","25,290","1,016,114","9,058","14,161","2,274","43,200","21,177","1,536,747","14,329","372,299","13,869","358,044",705,"14,255","1,687","1,632",0,0,"14,933","1,162,816","25,918","6,422,181","25,720","4,037,947","11,864","2,555,050","1,306","2,386,691",** 11,"** 34,465","4,231","1,171,747","1,457","115,825","11,556","93,383","20,254","2,064,392","21,976","2,273,600","6,809","845,221",684,"755,787","6,148","73,681","76,000","288,613","26,731","161,726,213","8,328","873,055","26,764","44,175,610","21,243","1,474,943","26,699","42,700,667","26,699","42,700,667"
"    $10,000,000 or more","17,539","542,734,540","17,539","545,936,639","14,247","87,400,828","17,466","19,212,919","13,632","5,356,731","16,870","57,134,300","16,525","50,693,623","8,906","1,779,167",21,"48,341","4,739","3,942,668","17,238","263,792,359","10,066","5,102,314","3,541","2,861,015","3,344","683,320","8,451","3,698,877","2,435","302,136",207,"20,378","15,759","89,448,181","3,041","5,744,837",795,"-136,984",30,296,"3,478","101,488",519,"2,293,891","3,551","296,411",16,80,169,"15,268",558,"3,708,862","8,088","3,728,657","12,036","3,202,099","71,928,935",* 8,"* 11,614",**,**,**,**,**,**,"17,492","27,805,240","17,385","26,444,896","14,824","26,204,941","2,561","239,956","16,643","1,239,958","5,888","15,515","1,556","104,870","14,394","4,812,321","8,035","216,349","7,704","205,219",423,"11,129",787,"1,318",0,0,"11,798","4,594,654","17,130","35,025,797","17,040","19,319,446","8,161","14,275,438","1,171","10,513,440",**,**,"2,745","2,915,704",773,"152,486","7,535","152,719","14,660","6,028,005","15,319","6,333,210","6,393","1,363,025",445,"1,201,948","5,987","146,120","50,670","192,404","17,517","470,626,077","6,651","2,503,437","17,523","111,959,636","14,844","4,537,444","17,480","107,422,192","17,480","107,422,192"
"Taxable returns, total","39,865,286","6,038,805,436","39,865,286","6,125,090,281","34,543,501","3,802,664,409","23,088,538","78,879,025","3,683,149","55,353,415","14,487,776","208,507,410","13,398,253","168,104,061","18,279,299","24,523,394","163,385","5,309,418","7,222,183","178,618,329","12,068,979","564,706,587","1,124,185","5,784,884","5,707,884","149,568,508","10,416,022","319,896,775","3,143,678","69,645,907","2,382,521","24,381,730","225,023","3,431,888","5,030,244","541,819,940","404,508","22,966,389","632,352","-1,736,150","2,732,799","19,661,728","7,639,401","124,086,824","140,515","12,437,226","327,159","4,965,411","107,577","130,005","76,139","6,085,465","935,935","22,602,353","2,934,111","25,393,555","13,203,221","86,284,845","1,101,805,881","2,276","13,192","7,132,777","47,814,429","7,132,777","86,158,846","7,132,777","38,344,417","39,677,803","456,099,369","38,731,108","290,735,925","30,773,177","276,586,357","7,957,931","14,149,567","34,821,037","156,275,506","17,735,493","7,546,631","2,216,510","1,537,050","31,589,859","315,083,262","31,084,889","296,120,080","30,637,226","290,467,279","1,041,101","5,652,802","2,510,073","1,534,872","3,470,059","4,227,737","1,406,746","13,200,572","33,362,460","187,195,026","30,602,119","141,406,556","20,227,374","44,060,749","327,575","27,060,984","110,673","2,432,473","9,816,971","75,921,407","13,074,081","70,389,784","19,259,541","6,433,193","6,756,863","36,035,660","25,012,878","112,858,637","1,105,265","17,273,106","817,569","15,198,831","288,192","1,714,400","91,917,668","349,099,220","39,848,715","4,589,257,655","4,069,309","32,142,441","39,865,286","997,872,641","16,789,551","36,371,263","39,865,286","961,501,378","39,865,286","961,501,378"
"Nontaxable returns, total","5,716,412","186,699,319","5,716,412","192,991,095","3,537,058","124,482,315","2,666,245","5,393,289","396,311","5,204,825","1,561,989","11,240,214","1,424,969","7,665,501","1,254,599","1,315,068","33,231","638,595","1,520,852","12,174,491","1,466,045","8,167,076","165,813","-2,131,783","854,626","8,092,224","1,482,000","17,552,979","441,079","4,046,810","506,611","6,069,216","32,238","158,034","615,708","-122,442","33,292","145,567","97,248","-1,359,036","558,179","4,253,503","909,323","5,844,245","194,254","4,471,313","61,704","986,780","2,170","3,827","17,241","1,299,927","128,950","2,816,400","358,060","1,291,428","1,817,001","6,291,776","136,887,572",194,466,"3,083,174","37,498,157","3,083,174","43,666,357","3,079,177","6,168,200","5,555,269","26,982,335","5,175,969","8,767,039","2,651,009","6,377,190","2,524,960","2,389,849","4,430,067","17,032,509","2,153,234","915,500","275,646","267,288","3,826,502","38,974,470","3,753,417","36,490,459","3,685,194","35,676,705","116,722","813,755","209,009","126,195","644,602","1,138,493","154,237","1,219,322","4,004,788","12,075,433","3,598,482","10,751,084","1,955,194","4,986,351","237,994","4,877,874","48,952","2,512,997","2,034,104","14,467,397","1,530,231","11,038,798","2,457,580","790,141","962,449","4,348,298","3,294,381","16,177,238","158,779","4,377,248","111,742","2,610,222","45,784","853,587","14,853,819","56,379,910","2,434,699","37,127,029","9,305","23,878","2,160,929","4,406,998","2,160,929","4,406,998",0,0,0,0
* Estimate should be used with caution due to the small number of sample returns on which it is based.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** Data combined to avoid disclosure of information for specific taxpayers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1] Not included in total income.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: Detail may not add to totals because of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IRS, Statistics of Income Division, Publication 1304, July 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
